id,latitude,longitude,cluster
10109441,39.9710743,32.5928911,142
10109489,39.9893272,32.5089856,89
10109529,39.969756,32.5895875,142
10109843,39.9560525,32.7096666,325
10109947,39.9511592,32.6021582,63
10110403,40.0066653,32.5214487,51
10110626,40.0061174,32.5201151,51
10110697,39.9781204,32.8951958,229
10110848,39.9571838,32.5927712,70
10111138,39.9757457,32.6107881,18
10111214,39.983716,32.84368,9
10111530,39.9799213,32.8428015,9
10111869,39.9898683,32.848795,324
10111994,39.9333635,32.8597419,199
10112460,39.9603589,32.742676,175
10208110,39.9504022,32.5847132,277
10208170,39.9513042,32.6079616,146
10208774,39.8931675,32.7051441,50
10208859,39.995093,32.8789727,123
10220018,39.8970734,32.691308,213
10220100,39.945644,32.651316,16
10221175,39.9566469,32.564087,76
10221316,39.9820027,32.7322439,61
10312896,40.075123,31.39928799999999,255
10313293,39.9928101,32.8664234,46
10313435,39.940028,32.613384,98
10314072,39.98484,32.613089,24
10314144,40.0006145,32.5283159,166
10315032,39.97282630000001,32.5751001,69
10315618,40.08629699999999,33.1293689,176
10321601,39.9889262,32.8634441,134
10322313,39.975372,32.829447,181
10430440,39.944826,32.5912661,77
10430956,40.0124163,32.5354262,57
10431335,39.9493109,32.5918845,163
10432242,39.9966092,32.6506446,244
10432344,39.9903073,32.8032156,19
10600068,39.9381175,32.6127011,245
10600071,39.9395625,32.5942241,14
10600073,39.9948516,32.6442256,82
10600083,39.9784129,32.6010689,26
10600107,39.9956708,32.5143028,25
10600114,39.9567532,32.5691188,168
10600270,39.9602168,32.5754383,182
10600274,39.96270940000001,32.5738825,73
10600312,39.9757457,32.6107881,18
10600413,39.88173,32.67303,300
10600452,39.9470669,32.6526134,16
10600489,39.9321525,32.6116598,72
10600496,39.968624,32.5837628,167
10600509,39.965323,32.602483,42
10600515,39.9478338,32.6460306,58
10600526,39.98956099999999,32.573737,86
10600537,39.968826,32.5855678,48
10600549,40.0064219,32.5297381,105
10600551,39.9382395,32.6528609,13
10600558,39.8650916,32.6475256,122
10600586,39.8544476,32.424074,335
10600623,39.955369,32.585911,135
10600638,39.9689387,32.5840658,167
10600659,39.9998245,32.5296615,166
10600661,39.9588076,32.5584854,11
10600666,40.0099325,32.5011463,279
10600669,39.9603049,32.7292568,8
10600670,39.982142,32.6154415,110
10600686,39.941553,32.64607240000001,101
10600690,39.9544174,32.6141887,103
10600705,39.9498166,32.5678319,124
10600708,39.9768007,32.953474,272
10600713,39.9321525,32.6116598,72
10600739,39.9745031,32.5780411,69
10600741,39.952131,32.61441,103
10600754,39.9579625,32.5727715,315
10600760,39.951319,32.574571,165
10600766,40.0193908,32.530486,12
10600767,39.970754,32.586766,48
10600776,39.8139783,32.6560016,215
10600780,39.880435,32.798862,153
10600786,39.9321525,32.6116598,72
10600795,39.9832323,32.5796924,85
10600805,39.9603049,32.7292568,8
10600809,39.9338638,32.650495,155
10600818,40.0037956,32.8737707,302
10600823,39.942969,32.589545,226
10600835,39.9601061,32.5819837,156
10600839,39.9646866,32.5885054,80
10600845,39.9374207,32.6191139,290
10600851,39.9771278,32.8313649,181
10600863,39.9639657,32.5965505,71
10600864,39.947115,32.5633904,141
10600873,39.933483,32.590671,119
10600898,39.974807,32.6098556,18
10600902,39.9575834,32.8579616,296
10600915,39.9694776,32.6237705,295
10600921,39.9730235,32.6596405,228
